ref,delegator,delegated_ksm,conviction,share_of_chaosdao_delegated_capital
659,GkHYmu1iaBHFSXfWt4hqjs6EqAAdgFd2XGKh9icAo9gsKrc,5.0,3,0.0001
659,Hec6PvCo6Pz8gvGRgZi7Anwo37nVMDkqVbNo69qDKtzvxHa,5.0,2,0.0001
659,HFfPhmHzYKFkN5fhuT7Bp14NUUJ3GaNnFNJBJXtp27aB542,5.0,0,0.0001
659,EnsbA7bPTAW8na4eQRuCvuEx7MHw41ewCW7aDFCsUXErg3D,4.9,2,0.0001
659,HsqjddXcYDzmyoP45LP4Sn5K584P7r4YLpxX34xfpZdiiZr,4.0,4,0.0
659,Hy8UnZSNvchEzKLBZ6X6qXq6xc8gVNGyo8ALuuNUXeTiD6K,2.0,2,0.0
659,DXeDEDip9Dp5dcDFGRnZDkUwehXVQvKsWWgg1oKnutAQYen,1.9,2,0.0
659,G77evQHx9yDYPHtGprocdPnB9tuq3oUr9ZHSuqjAKgdVakQ,1.81,4,0.0
659,HWCX9155Z3YbbXURM4X5GU7ZzVYt1esWLzoTRuLxHEntfzp,1.5,3,0.0
659,HP7YrjKopdW5B2wfXWJzhPDem5V2V3sENKoZgmEGrBbghuY,1.0,6,0.0
659,GP4X6kP8yRAy1rXgoh4wJBhWfWLs82wmmtFeoWHGnAN1x8q,1.0,6,0.0
659,EwQQ1gZapN96ByyLnsNpkjwE7i5hzSqTA614MJPnoyTfFGy,1.0,6,0.0
659,EPW3JaXmx928JjyiuvSXjTm8XcCV7Cz1Y37teN7S69VG9Kt,1.0,6,0.0
659,E4xv5y8j6qycjTCAb91hbjEaZH8H2MybwVW5HXi6iRpLeNh,1.0,6,0.0
659,DwFWewCgcfsXPSsR6uXFUQ9MGjrHxM8vpkXFD6J5APMewZn,1.0,6,0.0
659,DwE1LK2dXqbY7XeXRy9WviS3Px3pLXaAE395iN8DTFe11w5,1.0,6,0.0
659,Cx3DyStB662G6YuoSWJJEZ7M1PiKRsGhVKoLyEXHRaDrvbg,1.0,6,0.0
659,GU3hK7n82ttr8EcHmQ5mDmveFAKtDDKeSWizgCXs2xkgB4k,0.5,6,0.0
659,Cg2Bqvfu4X6z4wvRHx3Z7SjJumZcTALwgcXzR67f1vKDeZi,0.5,0,0.0
659,GqDvpiTTfYJdPVQF3za9NVeKkoJKXgyXFkA4XuBE6vikMts,0.23,6,0.0
659,GWxrWm5QN3iLAVk4y3YuETvveFm1GdTFFBufcmyqqRUhCoD,0.1,3,0.0
659,EzVt5Z3pddR55HnS637AEqTutcxPDMKux2JzjK7pDG85Nmz,0.1,3,0.0
659,DMhiYwVyU3bg4ok6btNC29hLuYVN63B2kZ33asVzR8o89f2,0.1,2,0.0
659,GPZkNLKkvLUdzBdExDK2Ci9UEx8mf895dTSoEZ76VUWgAVs,0.1,0,0.0
659,FkiGtJ2Z1EvrhftDobgq1nWnBeDwBpjzM8YG3bYMFXSTxs9,0.1,0,0.0
659,DQuQpWgGQQXNZ8sqotbRwMgYNG4PMsTLyQc9KkV4m9nuBcC,0.1,0,0.0
659,HnCFyEZ5sXoZ58QQGC3ukE38JJ3JFTxyc2aFKbFHv7KfupN,0.07,6,0.0
659,FtSr4numDQneau7PL9GuqroJAnX6pcEGATrvcH9pMRo3TQf,0.05,3,0.0
659,Fr2fiTHmkbW74KBLrVmBYWptt64SZKzxvqd9REFhfUveHn2,0.05,3,0.0
